ndays,MJm2
2762,10.873368
2763,8.352
2764,11.410992
2765,15.48
2766,17.046
2767,8.62074
2768,8.638236
2769,13.032036
2770,5.634
2771,18.148824
2772,19.817964
2773,18.288
2774,20.898
2775,11.145492
2776,10.97964
2777,7.138692
2778,7.342416
2779,14.7051
2780,18.281916
2781,7.966836
2782,17.172
2783,18.086544
2784,15.839028
2785,16.628076
2786,13.971456
2787,14.562
2788,17.119404
2789,13.37346
2790,14.403024
2791,18.22644
2792,7.481628
2793,14.170428
2794,10.484424
2795,14.29188948
2796,14.53109342
2797,14.52387443
2798,14.48829981
2799,14.60949386
2800,14.49276475
2801,14.4929053
2802,14.44931166
2803,14.37689068
2804,14.2943516
2805,14.36371746
2806,14.53834596
2807,14.45901827
2808,14.3571484
2809,14.1549448
2810,14.13709412
2811,14.41850286
2812,14.39530076
2813,14.49236129
2814,14.4531118
2815,14.75795374
2816,14.8374591
2817,14.90003381
2818,14.77522374
2819,14.92746749
2820,14.86001661
2821,14.81561203
2822,14.86702434
2823,15.06447448
2824,15.15014462
2825,15.21382947
2826,15.37920196
2827,15.14033012
2828,15.07283792
2829,14.80525976
2830,14.5966152
2831,8.136
2832,14.33510869
2833,17.694
2834,13.97701272
2835,14.076484
2836,13.66527081
2837,13.47357781
2838,13.47667472
2839,13.30976866
2840,13.32079859
2841,11.200788
2842,19.224324
2843,8.00964
2844,14.026068
2845,8.77914
2846,10.413972
2847,9.580932
2848,12.357216
2849,9.073368
2850,19.343232
2851,13.143888
2852,9.933804
2853,9.587304
2854,9.397944
2855,10.334376
2856,9.796068
2857,11.894616
2858,3.959712
2859,11.719944
2860,13.886784
2861,10.258488
2862,7.845048
2863,3.753144
2864,12.145428
2865,11.965968
2866,2.705616
2867,3.751668
2868,15.958188
2869,16.849044
2870,18.981612
2871,18.56322
2872,16.020072
2873,12.794508
2874,8.813952
2875,6.832296
2876,11.908872
2877,16.805304
2878,18.710208
2879,9.54
2880,6.090372
2881,11.974068
2882,12.923172
2883,15.313284
2884,12.460428
2885,12.36713316
2886,12.61540495
2887,12.80483532
2888,13.17964409
2889,13.42965801
2890,13.39703049
2891,13.45655223
2892,13.52414436
2893,13.7743311
2894,13.75214624
2895,9.432
2896,13.86
2897,6.336
2898,14.832
2899,11.448
2900,12.942
2901,16.794
2902,9.018
2903,6.12
2904,10.278
2905,14.49275481
2906,19.8
2907,18.378
2908,18.09
2909,13.86
2910,14.958
2911,15.39785233
2912,15.24061513
2913,10.872
2914,5.814
2915,15.35332636
2916,4.518
2917,15.61801156
2918,15.75018768
2919,16.06691886
2920,16.29038484
2921,16.51094929
2922,14.4306
2923,18.171
2924,21.762
2925,17.16005767
