Site,Date,Depth(cm),Sample#,H2O_by_wet(%),H2O_by_dry(%)
LUTZ *,12/22/2011,30-40,10,30.8,44.5
LUTZ *,1/5/2012,0-10,1,41.3,70.4
LUTZ *,1/5/2012,0-10,2,42.9,75.2
LUTZ *,1/5/2012,0-10,3,40.5,68.1
LUTZ *,1/5/2012,0-10,4,43.6,77.3
LUTZ *,1/5/2012,0-10,5,49.4,97.7
LUTZ *,1/5/2012,0-10,6,44.9,81.4
LUTZ *,1/5/2012,0-10,7,42.2,72.9
LUTZ *,1/5/2012,0-10,8,38.1,61.6
LUTZ *,1/5/2012,0-10,9,39.3,64.6
LUTZ *,1/5/2012,0-10,10,34.4,52.4
LUTZ *,1/5/2012,30-40,1,37.2,59.2
LUTZ *,1/5/2012,30-40,2,35.9,56
LUTZ *,1/5/2012,30-40,3,38.2,61.9
LUTZ *,1/5/2012,30-40,4,35.7,55.6
LUTZ *,1/5/2012,30-40,5,37.1,59.1
LUTZ *,1/5/2012,30-40,6,44.4,79.7
LUTZ *,1/5/2012,30-40,7,33.7,50.8
LUTZ *,1/5/2012,30-40,8,18.9,23.3
LUTZ *,1/5/2012,30-40,9,33.7,50.9
LUTZ *,1/5/2012,30-40,10,29.2,41.2
LUTZ *,1/13/2012,0-10,1,35.5,54.9
LUTZ *,1/13/2012,0-10,2,34.7,53.2
LUTZ *,1/13/2012,0-10,3,38.6,63
LUTZ *,1/13/2012,0-10,4,37,58.7
LUTZ *,1/13/2012,0-10,5,43.7,77.6
LUTZ *,1/13/2012,0-10,6,43.9,78.1
LUTZ *,1/13/2012,0-10,7,37.8,60.8
LUTZ *,1/13/2012,0-10,8,43.9,78.4
LUTZ *,1/13/2012,0-10,9,32.1,47.4
LUTZ *,1/13/2012,0-10,10,29.8,42.5
LUTZ *,1/13/2012,30-40,1,34.8,53.3
LUTZ *,1/13/2012,30-40,2,33.6,50.7
LUTZ *,1/13/2012,30-40,3,38.2,61.7
LUTZ *,1/13/2012,30-40,4,35.4,54.8
LUTZ *,1/13/2012,30-40,5,38,61.4
LUTZ *,1/13/2012,30-40,6,41.6,71.2
LUTZ *,1/13/2012,30-40,7,34.2,52
LUTZ *,1/13/2012,30-40,8,24.3,32.1
LUTZ *,1/13/2012,30-40,9,30,42.8
LUTZ *,1/13/2012,30-40,10,28.3,39.6
LUTZ *,1/19/2012,0-10,1,33.2,49.7
LUTZ *,1/19/2012,0-10,2,36.3,57
LUTZ *,1/19/2012,0-10,3,41,69.6
LUTZ *,1/19/2012,0-10,4,35.1,54
LUTZ *,1/19/2012,0-10,5,38.9,63.7
LUTZ *,1/19/2012,0-10,6,40.6,68.3
LUTZ *,1/19/2012,0-10,7,35,53.9
LUTZ *,1/19/2012,0-10,8,42.2,72.9
LUTZ *,1/19/2012,0-10,9,30.7,44.4
LUTZ *,1/19/2012,0-10,10,28.2,39.4
LUTZ *,1/19/2012,30-40,1,37.7,60.4
LUTZ *,1/19/2012,30-40,2,35.4,54.7
LUTZ *,1/19/2012,30-40,3,38.1,61.5
LUTZ *,1/19/2012,30-40,4,37,58.8
LUTZ *,1/19/2012,30-40,5,40.8,68.8
LUTZ *,1/19/2012,30-40,6,42.4,73.7
LUTZ *,1/19/2012,30-40,7,34.7,53.2
LUTZ *,1/19/2012,30-40,8,25.3,33.9
LUTZ *,1/19/2012,30-40,9,31.9,46.9
LUTZ *,1/19/2012,30-40,10,28.6,40
LUTZ *,1/26/2012,0-10,1,37.8,60.8
LUTZ *,1/26/2012,0-10,2,32.6,48.4
LUTZ *,1/26/2012,0-10,3,40.2,67.1
LUTZ *,1/26/2012,0-10,4,33.3,49.9
LUTZ *,1/26/2012,0-10,5,37.2,59.3
LUTZ *,1/26/2012,0-10,6,38.2,61.9
LUTZ *,1/26/2012,0-10,7,31,44.9
LUTZ *,1/26/2012,0-10,8,40.5,68
LUTZ *,1/26/2012,0-10,9,28.6,40.1
LUTZ *,1/26/2012,0-10,10,27.7,38.3
