Site,Date,Depth(cm),Sample#,H2O_by_wet(%),H2O_by_dry(%)
LUTZ *,4/30/1992,0-10,2,37.4,59.7
LUTZ *,4/30/1992,0-10,3,37.9,61.1
LUTZ *,4/30/1992,0-10,4,37.6,60.4
LUTZ *,4/30/1992,0-10,5,41.7,71.5
LUTZ *,4/30/1992,0-10,6,32.4,47.8
LUTZ *,4/30/1992,0-10,7,33.8,51.1
LUTZ *,4/30/1992,0-10,8,34.5,52.7
LUTZ *,4/30/1992,0-10,9,33.7,50.8
LUTZ *,4/30/1992,0-10,10,32.4,48
LUTZ *,4/30/1992,30-40,1,36.2,56.8
LUTZ *,4/30/1992,30-40,2,37.5,60
LUTZ *,4/30/1992,30-40,3,34.4,52.4
LUTZ *,4/30/1992,30-40,4,35,53.9
LUTZ *,4/30/1992,30-40,5,37.2,59.3
LUTZ *,4/30/1992,30-40,6,30.9,44.7
LUTZ *,4/30/1992,30-40,7,31.4,45.7
LUTZ *,4/30/1992,30-40,8,30.1,43.1
LUTZ *,4/30/1992,30-40,9,32.3,47.6
LUTZ *,4/30/1992,30-40,10,30.5,44
LUTZ *,5/7/1992,0-10,1,35.2,54.4
LUTZ *,5/7/1992,0-10,2,37.7,60.6
LUTZ *,5/7/1992,0-10,3,35.3,54.6
LUTZ *,5/7/1992,0-10,4,37.2,59.2
LUTZ *,5/7/1992,0-10,5,45.1,82.3
LUTZ *,5/7/1992,0-10,6,34,51.5
LUTZ *,5/7/1992,0-10,7,39.8,66.2
LUTZ *,5/7/1992,0-10,8,28.2,39.4
LUTZ *,5/7/1992,0-10,9,31.4,45.8
LUTZ *,5/7/1992,0-10,10,32.7,48.5
LUTZ *,5/7/1992,30-40,1,36.2,56.8
LUTZ *,5/7/1992,30-40,2,36.5,57.5
LUTZ *,5/7/1992,30-40,3,34.5,52.7
LUTZ *,5/7/1992,30-40,4,36.1,56.6
LUTZ *,5/7/1992,30-40,5,39.2,64.6
LUTZ *,5/7/1992,30-40,6,30.3,43.6
LUTZ *,5/7/1992,30-40,7,37.3,59.5
LUTZ *,5/7/1992,30-40,8,28.4,39.6
LUTZ *,5/7/1992,30-40,9,31.9,46.8
LUTZ *,5/7/1992,30-40,10,30.3,43.5
LUTZ *,5/14/1992,0-10,1,35.8,55.8
LUTZ *,5/14/1992,0-10,2,38.4,62.3
LUTZ *,5/14/1992,0-10,3,36.5,57.5
LUTZ *,5/14/1992,0-10,4,36.6,57.6
LUTZ *,5/14/1992,0-10,5,41.2,70
LUTZ *,5/14/1992,0-10,6,35,53.8
LUTZ *,5/14/1992,0-10,7,33.6,50.6
LUTZ *,5/14/1992,0-10,8,32.4,48
LUTZ *,5/14/1992,0-10,9,31.4,45.7
LUTZ *,5/14/1992,0-10,10,30.7,44.3
LUTZ *,5/14/1992,30-40,1,36.2,56.8
LUTZ *,5/14/1992,30-40,2,37,58.7
LUTZ *,5/14/1992,30-40,3,35.5,54.9
LUTZ *,5/14/1992,30-40,4,30.9,44.7
LUTZ *,5/14/1992,30-40,5,41.7,71.6
LUTZ *,5/14/1992,30-40,6,31.6,46.3
LUTZ *,5/14/1992,30-40,7,35.6,55.2
LUTZ *,5/14/1992,30-40,8,45.8,84.4
LUTZ *,5/14/1992,30-40,9,33.2,49.7
LUTZ *,5/14/1992,30-40,10,29.9,42.7
LUTZ *,5/21/1992,0-10,1,39.5,65.3
LUTZ *,5/21/1992,0-10,2,38.5,62.6
LUTZ *,5/21/1992,0-10,3,36.3,57
LUTZ *,5/21/1992,0-10,4,30.2,43.2
LUTZ *,5/21/1992,0-10,5,43,75.3
LUTZ *,5/21/1992,0-10,6,34.6,52.9
LUTZ *,5/21/1992,0-10,7,45.6,83.9
LUTZ *,5/21/1992,0-10,8,46.1,85.5
LUTZ *,5/21/1992,0-10,9,36.6,57.7
LUTZ *,5/21/1992,0-10,10,35.3,54.5
LUTZ *,5/21/1992,30-40,1,37.9,61
LUTZ *,5/21/1992,30-40,2,37.9,61
LUTZ *,5/21/1992,30-40,3,37.2,59.1
LUTZ *,5/21/1992,30-40,4,34,51.5
LUTZ *,5/21/1992,30-40,5,39.5,65.4
LUTZ *,5/21/1992,30-40,6,31.3,45.5
LUTZ *,5/21/1992,30-40,7,37.7,60.4
LUTZ *,5/21/1992,30-40,8,26,35.1
LUTZ *,5/21/1992,30-40,9,33.1,49.5
LUTZ *,5/21/1992,30-40,10,30.6,44.2
LUTZ *,6/4/1992,0-10,1,37.8,60.8
LUTZ *,6/4/1992,0-10,2,37.9,61
LUTZ *,6/4/1992,0-10,3,40.1,66.9
LUTZ *,6/4/1992,0-10,4,36.8,58.1
LUTZ *,6/4/1992,0-10,5,44.4,80
LUTZ *,6/4/1992,0-10,6,34.6,52.9
LUTZ *,6/4/1992,0-10,7,41.2,70.1
LUTZ *,6/4/1992,0-10,8,41.6,71.2
LUTZ *,6/4/1992,0-10,9,35.7,55.5
LUTZ *,6/4/1992,0-10,10,38.3,62
LUTZ *,6/4/1992,30-40,1,37.2,59.2
LUTZ *,6/4/1992,30-40,2,37.2,59.2
LUTZ *,6/4/1992,30-40,3,34.8,53.5
LUTZ *,6/4/1992,30-40,4,35.3,54.4
LUTZ *,6/4/1992,30-40,5,40.2,67.1
LUTZ *,6/4/1992,30-40,6,31.1,45.1
LUTZ *,6/4/1992,30-40,7,35.8,55.7
LUTZ *,6/4/1992,30-40,8,29.5,41.8
LUTZ *,6/4/1992,30-40,9,33.1,49.4
LUTZ *,6/4/1992,30-40,10,31.7,46.4
LUTZ *,6/18/1992,0-10,1,37.3,59.4
LUTZ *,6/18/1992,0-10,2,44.6,80.5
LUTZ *,6/18/1992,0-10,3,41.6,71.2
LUTZ *,6/18/1992,0-10,4,39.2,64.4
LUTZ *,6/18/1992,0-10,5,44.2,79.1
LUTZ *,6/18/1992,0-10,6,40.8,69
LUTZ *,6/18/1992,0-10,7,41.3,70.3
LUTZ *,6/18/1992,0-10,8,45.9,84.8
LUTZ *,6/18/1992,0-10,9,34.3,52.1
LUTZ *,6/18/1992,0-10,10,36.3,57.1
LUTZ *,6/18/1992,30-40,1,35.8,55.8
LUTZ *,6/18/1992,30-40,2,40.3,67.4
LUTZ *,6/18/1992,30-40,3,35.5,54.9
LUTZ *,6/18/1992,30-40,4,33.8,51
LUTZ *,6/18/1992,30-40,5,38.7,63.2
LUTZ *,6/18/1992,30-40,6,34,51.6
LUTZ *,6/18/1992,30-40,7,35.5,55
LUTZ *,6/18/1992,30-40,8,29.3,41.3
LUTZ *,6/18/1992,30-40,9,31.9,46.8
LUTZ *,6/18/1992,30-40,10,29.9,42.6
LUTZ *,7/2/1992,0-10,1,37.9,61.1
LUTZ *,7/2/1992,0-10,2,41.5,71
LUTZ *,7/2/1992,0-10,3,38.5,62.5
LUTZ *,7/2/1992,0-10,4,37.1,59.1
LUTZ *,7/2/1992,0-10,5,45.3,82.9
LUTZ *,7/2/1992,0-10,6,38.1,61.6
LUTZ *,7/2/1992,0-10,7,39.5,65.2
LUTZ *,7/2/1992,0-10,8,47,88.7
LUTZ *,7/2/1992,0-10,9,34.6,53
LUTZ *,7/2/1992,0-10,10,36.4,57.2
LUTZ *,7/2/1992,30-40,1,36.7,58
LUTZ *,7/2/1992,30-40,2,37.9,61
LUTZ *,7/2/1992,30-40,3,35.1,54.2
LUTZ *,7/2/1992,30-40,4,37.2,59.2
LUTZ *,7/2/1992,30-40,5,35,53.8
LUTZ *,7/2/1992,30-40,6,34.3,52.1
LUTZ *,7/2/1992,30-40,7,36.4,57.3
LUTZ *,7/2/1992,30-40,8,25,33.4
LUTZ *,7/2/1992,30-40,9,31.7,46.5
LUTZ *,7/2/1992,30-40,10,30.3,43.5
LUTZ *,8/13/1992,0-10,1,41.6,71.3
LUTZ *,8/13/1992,0-10,2,39,64
LUTZ *,8/13/1992,0-10,3,41,69.4
LUTZ *,8/13/1992,0-10,4,37.5,59.9
LUTZ *,8/13/1992,0-10,5,47.3,89.9
LUTZ *,8/13/1992,0-10,6,41.1,69.7
LUTZ *,8/13/1992,0-10,7,39.2,64.4
LUTZ *,8/13/1992,0-10,8,50.7,102.7
LUTZ *,8/13/1992,0-10,9,36.9,58.4
LUTZ *,8/13/1992,0-10,10,38.4,62.3
LUTZ *,8/13/1992,30-40,1,38,61.3
LUTZ *,8/13/1992,30-40,2,38.1,61.5
LUTZ *,8/13/1992,30-40,3,36,56.1
LUTZ *,8/13/1992,30-40,4,32.4,48
LUTZ *,8/13/1992,30-40,5,40,66.6
LUTZ *,8/13/1992,30-40,6,31.5,46.1
LUTZ *,8/13/1992,30-40,7,38,61.4
LUTZ *,8/13/1992,30-40,8,28.5,39.8
LUTZ *,8/13/1992,30-40,9,32.3,47.7
LUTZ *,8/13/1992,30-40,10,31.8,46.6
LUTZ *,9/10/1992,0-10,1,40.2,67.3
LUTZ *,9/10/1992,0-10,2,45.3,82.7
LUTZ *,9/10/1992,0-10,3,38.8,63.5
LUTZ *,9/10/1992,0-10,4,42.8,74.8
LUTZ *,9/10/1992,0-10,5,47,88.7
LUTZ *,9/10/1992,0-10,6,36.4,57.3
LUTZ *,9/10/1992,0-10,7,46.5,87.1
LUTZ *,9/10/1992,0-10,8,51.5,106.2
LUTZ *,9/10/1992,0-10,9,35.8,55.7
LUTZ *,9/10/1992,0-10,10,39.9,66.3
LUTZ *,9/10/1992,30-40,1,37.4,59.8
LUTZ *,9/10/1992,30-40,2,37.6,60.4
LUTZ *,9/10/1992,30-40,3,31.3,45.5
LUTZ *,9/10/1992,30-40,4,36.7,58
LUTZ *,9/10/1992,30-40,5,36.5,57.5
LUTZ *,9/10/1992,30-40,6,30.4,43.8
LUTZ *,9/10/1992,30-40,7,37.1,59
LUTZ *,9/10/1992,30-40,8,32.6,48.3
LUTZ *,9/10/1992,30-40,9,32.8,48.7
LUTZ *,9/10/1992,30-40,10,30.6,44.1
LUTZ *,10/2/1992,0-10,1,38.8,63.4
LUTZ *,10/2/1992,0-10,2,52.3,109.6
LUTZ *,10/2/1992,0-10,3,41.6,71.3
LUTZ *,10/2/1992,0-10,4,37.1,59.1
LUTZ *,10/2/1992,0-10,5,49,96.2
LUTZ *,10/2/1992,0-10,6,40.2,67.3
LUTZ *,10/2/1992,0-10,7,41.2,70
LUTZ *,10/2/1992,0-10,8,51.6,106.4
LUTZ *,10/2/1992,0-10,9,40.1,66.8
LUTZ *,10/2/1992,0-10,10,37.1,59.1
LUTZ *,10/2/1992,30-40,1,36.6,57.7
LUTZ *,10/2/1992,30-40,2,37,58.7
LUTZ *,10/2/1992,30-40,3,36.3,57
LUTZ *,10/2/1992,30-40,4,35.1,54
LUTZ *,10/2/1992,30-40,5,42.3,73.3
LUTZ *,10/2/1992,30-40,6,33.1,49.5
LUTZ *,10/2/1992,30-40,7,37.6,60.2
LUTZ *,10/2/1992,30-40,8,28.5,39.8
LUTZ *,10/2/1992,30-40,9,32,47
LUTZ *,10/2/1992,30-40,10,31.2,45.4
LUTZ *,10/8/1992,0-10,1,39.8,66.2
LUTZ *,10/8/1992,0-10,2,41,69.5
LUTZ *,10/8/1992,0-10,3,45.1,82
LUTZ *,10/8/1992,0-10,4,42.2,73
LUTZ *,10/8/1992,0-10,5,46.3,86.4
LUTZ *,10/8/1992,0-10,6,39.1,64.3
LUTZ *,10/8/1992,0-10,7,39.9,66.5
LUTZ *,10/8/1992,0-10,8,49.4,97.8
LUTZ *,10/8/1992,0-10,9,38.3,62.1
LUTZ *,10/8/1992,0-10,10,34.1,51.7
LUTZ *,10/8/1992,30-40,1,36.7,57.9
LUTZ *,10/8/1992,30-40,2,37.4,59.7
LUTZ *,10/8/1992,30-40,3,41.3,70.2
LUTZ *,10/8/1992,30-40,4,38,61.4
LUTZ *,10/8/1992,30-40,5,41,69.6
LUTZ *,10/8/1992,30-40,6,33.3,49.9
LUTZ *,10/8/1992,30-40,7,33.3,49.9
LUTZ *,10/8/1992,30-40,8,28.6,40.1
LUTZ *,10/8/1992,30-40,9,32.9,49
LUTZ *,10/8/1992,30-40,10,32,47.1
LUTZ *,10/22/1992,0-10,1,37,58.6
LUTZ *,10/22/1992,0-10,2,44.4,79.8
LUTZ *,10/22/1992,0-10,3,38.7,63
LUTZ *,10/22/1992,0-10,4,41.5,70.8
LUTZ *,10/22/1992,0-10,5,45.2,82.5
LUTZ *,10/22/1992,0-10,6,38,61.2
LUTZ *,10/22/1992,0-10,7,39.8,66.1
LUTZ *,10/22/1992,0-10,8,47.7,91.2
LUTZ *,10/22/1992,0-10,9,39.7,66
LUTZ *,10/22/1992,0-10,10,37.4,59.9
LUTZ *,10/22/1992,30-40,1,36.5,57.4
LUTZ *,10/22/1992,30-40,2,39.1,64.2
LUTZ *,10/22/1992,30-40,3,34,51.4
LUTZ *,10/22/1992,30-40,4,31.7,46.5
LUTZ *,10/22/1992,30-40,5,36.3,57
LUTZ *,10/22/1992,30-40,6,31.6,46.3
LUTZ *,10/22/1992,30-40,7,34.9,53.7
LUTZ *,10/22/1992,30-40,8,27.4,37.8
LUTZ *,10/22/1992,30-40,9,33.3,49.9
LUTZ *,10/22/1992,30-40,10,32.7,48.6
LUTZ *,11/5/1992,0-10,1,39.5,65.4
LUTZ *,11/5/1992,0-10,2,39.5,65.2
LUTZ *,11/5/1992,0-10,3,41.3,70.5
LUTZ *,11/5/1992,0-10,4,40.3,67.5
LUTZ *,11/5/1992,0-10,5,42.4,73.6
LUTZ *,11/5/1992,0-10,6,35.6,55.4
LUTZ *,11/5/1992,0-10,7,38.1,61.6
LUTZ *,11/5/1992,0-10,8,48.8,95.4
LUTZ *,11/5/1992,0-10,9,36.7,58.1
LUTZ *,11/5/1992,0-10,10,41.7,71.5
LUTZ *,11/5/1992,30-40,1,35.8,55.8
LUTZ *,11/5/1992,30-40,2,38.5,62.7
LUTZ *,11/5/1992,30-40,3,34.5,52.6
LUTZ *,11/5/1992,30-40,4,32.7,48.6
LUTZ *,11/5/1992,30-40,5,39.1,64.3
LUTZ *,11/5/1992,30-40,6,29.4,41.6
LUTZ *,11/5/1992,30-40,7,35.2,54.3
LUTZ *,11/5/1992,30-40,8,23.4,30.5
LUTZ *,11/5/1992,30-40,9,31.9,46.8
LUTZ *,11/5/1992,30-40,10,30.5,43.8
LUTZ *,11/19/1992,0-10,1,39,63.9
LUTZ *,11/19/1992,0-10,2,43.4,76.6
LUTZ *,11/19/1992,0-10,3,35.2,54.3
LUTZ *,11/19/1992,0-10,4,36.6,57.8
LUTZ *,11/19/1992,0-10,5,55.3,123.5
LUTZ *,11/19/1992,0-10,6,37.6,60.2
LUTZ *,11/19/1992,0-10,7,43.2,76.1
LUTZ *,11/19/1992,0-10,8,47.6,91
LUTZ *,11/19/1992,0-10,9,40.4,67.7
LUTZ *,11/19/1992,0-10,10,38,61.2
LUTZ *,11/19/1992,30-40,1,34.5,52.8
LUTZ *,11/19/1992,30-40,2,40.4,67.8
LUTZ *,11/19/1992,30-40,3,35.1,54.1
LUTZ *,11/19/1992,30-40,4,34.6,52.9
LUTZ *,11/19/1992,30-40,5,38.1,61.7
LUTZ *,11/19/1992,30-40,6,21.8,27.9
LUTZ *,11/19/1992,30-40,7,35.8,55.8
LUTZ *,11/19/1992,30-40,8,26.1,35.4
LUTZ *,11/19/1992,30-40,9,31.7,46.4
LUTZ *,11/19/1992,30-40,10,31.9,46.9
LUTZ *,12/3/1992,0-10,1,42.1,72.6
LUTZ *,12/3/1992,0-10,2,46.1,85.4
LUTZ *,12/3/1992,0-10,3,42.6,74.4
LUTZ *,12/3/1992,0-10,4,41.2,70
LUTZ *,12/3/1992,0-10,5,49.6,98.6
LUTZ *,12/3/1992,0-10,6,36.8,58.3
LUTZ *,12/3/1992,0-10,7,47.4,90.3
LUTZ *,12/3/1992,0-10,8,38.9,63.6
LUTZ *,12/3/1992,0-10,9,37.6,60.3
LUTZ *,12/3/1992,0-10,10,42.5,74
LUTZ *,12/3/1992,30-40,1,37.9,61.1
LUTZ *,12/3/1992,30-40,2,38.9,63.6
LUTZ *,12/3/1992,30-40,3,34.3,52.1
LUTZ *,12/3/1992,30-40,4,33.1,49.5
LUTZ *,12/3/1992,30-40,5,39.1,64.1
LUTZ *,12/3/1992,30-40,6,30.6,44.2
LUTZ *,12/3/1992,30-40,7,38.7,63.1
LUTZ *,12/3/1992,30-40,8,22.7,29.3
LUTZ *,12/3/1992,30-40,9,32.4,47.9
LUTZ *,12/3/1992,30-40,10,31.1,45.2
LUTZ *,12/17/1992,0-10,1,46.8,88
LUTZ *,12/17/1992,0-10,2,46.9,88.3
LUTZ *,12/17/1992,0-10,3,39.2,64.5
LUTZ *,12/17/1992,0-10,4,39.4,64.9
LUTZ *,12/17/1992,0-10,5,44.7,80.9
LUTZ *,12/17/1992,0-10,6,35,53.8
LUTZ *,12/17/1992,0-10,7,35,53.8
LUTZ *,12/17/1992,0-10,8,48.1,92.7
LUTZ *,12/17/1992,0-10,9,37.8,60.9
LUTZ *,12/17/1992,0-10,10,38.6,62.9
LUTZ *,12/17/1992,30-40,1,37.9,61.1
LUTZ *,12/17/1992,30-40,2,37.1,59.1
LUTZ *,12/17/1992,30-40,3,35.3,54.6
LUTZ *,12/17/1992,30-40,4,34.7,53.1
LUTZ *,12/17/1992,30-40,5,39.1,64.2
LUTZ *,12/17/1992,30-40,6,30.7,44.3
LUTZ *,12/17/1992,30-40,7,37.3,59.5
LUTZ *,12/17/1992,30-40,8,28.1,39.1
LUTZ *,12/17/1992,30-40,9,31.8,46.5
LUTZ *,12/17/1992,30-40,10,32.1,47.3
LUTZ *,12/30/1992,0-10,1,39.2,64.4
LUTZ *,12/30/1992,0-10,2,36.1,56.6
LUTZ *,12/30/1992,0-10,3,38.6,62.9
LUTZ *,12/30/1992,0-10,4,39.3,64.6
LUTZ *,12/30/1992,0-10,5,47.1,89
LUTZ *,12/30/1992,0-10,6,32.3,47.8
LUTZ *,12/30/1992,0-10,7,44,78.6
LUTZ *,12/30/1992,0-10,8,42.1,72.6
LUTZ *,12/30/1992,0-10,9,33.5,50.3
LUTZ *,12/30/1992,0-10,10,33.1,49.6
LUTZ *,12/30/1992,30-40,1,33.2,49.8
LUTZ *,12/30/1992,30-40,2,35.6,55.3
LUTZ *,12/30/1992,30-40,3,30.3,43.5
LUTZ *,12/30/1992,30-40,4,34.5,52.6
LUTZ *,12/30/1992,30-40,5,38.9,63.6
LUTZ *,12/30/1992,30-40,6,28.4,39.7
LUTZ *,12/30/1992,30-40,7,33.9,51.3
LUTZ *,12/30/1992,30-40,8,30.8,44.6
LUTZ *,12/30/1992,30-40,9,29.9,42.6
LUTZ *,12/30/1992,30-40,10,31.3,45.6
LUTZ *,1/14/1993,0-10,1,38.2,61.8
LUTZ *,1/14/1993,0-10,2,37.3,59.6
LUTZ *,1/14/1993,0-10,3,40,66.7
LUTZ *,1/14/1993,0-10,4,39.2,64.6
LUTZ *,1/14/1993,0-10,5,43.1,75.8
LUTZ *,1/14/1993,0-10,6,42.7,74.5
LUTZ *,1/14/1993,0-10,7,39.2,64.4
LUTZ *,1/14/1993,0-10,8,47.3,89.7
LUTZ *,1/14/1993,0-10,9,31.6,46.3
LUTZ *,1/14/1993,0-10,10,37.2,59.2
LUTZ *,1/14/1993,30-40,1,36.1,56.4
LUTZ *,1/14/1993,30-40,2,39.3,64.8
LUTZ *,1/14/1993,30-40,3,33.2,49.6
LUTZ *,1/14/1993,30-40,4,33.4,50.2
LUTZ *,1/14/1993,30-40,5,42.8,74.8
LUTZ *,1/14/1993,30-40,6,30,42.9
LUTZ *,1/14/1993,30-40,7,34.1,51.8
LUTZ *,1/14/1993,30-40,8,28.8,40.5
LUTZ *,1/14/1993,30-40,9,31.2,45.4
LUTZ *,1/14/1993,30-40,10,30.3,43.5
LUTZ *,1/28/1993,0-10,1,31,44.8
LUTZ *,1/28/1993,0-10,2,36.9,58.5
LUTZ *,1/28/1993,0-10,3,37.5,59.9
LUTZ *,1/28/1993,0-10,4,36.2,56.6
LUTZ *,1/28/1993,0-10,5,39.2,64.4
LUTZ *,1/28/1993,0-10,6,38.1,61.6
LUTZ *,1/28/1993,0-10,7,34.9,53.5
LUTZ *,1/28/1993,0-10,8,43.7,77.6
LUTZ *,1/28/1993,0-10,9,33.9,51.3
LUTZ *,1/28/1993,0-10,10,29.6,42
LUTZ *,1/28/1993,30-40,1,34.7,53
LUTZ *,1/28/1993,30-40,2,36.5,57.6
LUTZ *,1/28/1993,30-40,3,36.5,57.6
LUTZ *,1/28/1993,30-40,4,33.6,50.5
LUTZ *,1/28/1993,30-40,5,38.4,62.4
LUTZ *,1/28/1993,30-40,6,31.9,46.9
LUTZ *,1/28/1993,30-40,7,33.8,51.1
LUTZ *,1/28/1993,30-40,8,24,31.6
LUTZ *,1/28/1993,30-40,9,30,42.9
LUTZ *,1/28/1993,30-40,10,28.6,40
LUTZ *,2/5/1993,0-10,1,30.5,44
LUTZ *,2/5/1993,0-10,2,40.4,67.7
LUTZ *,2/5/1993,0-10,3,34.9,53.7
LUTZ *,2/5/1993,0-10,4,38.1,61.6
LUTZ *,2/5/1993,0-10,5,39.2,64.4
LUTZ *,2/5/1993,0-10,6,38.4,62.4
LUTZ *,2/5/1993,0-10,7,33.1,49.4
LUTZ *,2/5/1993,0-10,8,40.6,68.4
LUTZ *,2/5/1993,0-10,9,29.1,41.1
LUTZ *,2/5/1993,0-10,10,31.4,45.8
LUTZ *,2/5/1993,30-40,1,33.5,50.3
LUTZ *,2/5/1993,30-40,2,36.7,58
LUTZ *,2/5/1993,30-40,3,34.5,52.6
LUTZ *,2/5/1993,30-40,4,33.8,51
LUTZ *,2/5/1993,30-40,5,38.3,62.2
LUTZ *,2/5/1993,30-40,6,28.4,39.6
LUTZ *,2/5/1993,30-40,7,32.4,47.9
LUTZ *,2/5/1993,30-40,8,28.6,40.1
LUTZ *,2/5/1993,30-40,9,29.6,42.1
LUTZ *,2/5/1993,30-40,10,28.4,39.7
LUTZ *,2/11/1993,0-10,1,35.7,55.4
LUTZ *,2/11/1993,0-10,2,36.3,57.1
LUTZ *,2/11/1993,0-10,3,36,56.1
LUTZ *,2/11/1993,0-10,4,38.1,61.7
LUTZ *,2/11/1993,0-10,5,40.8,69
LUTZ *,2/11/1993,0-10,6,33.6,50.6
LUTZ *,2/11/1993,0-10,7,37.1,58.9
LUTZ *,2/11/1993,0-10,8,48.5,94.1
LUTZ *,2/11/1993,0-10,9,30.7,44.4
LUTZ *,2/11/1993,0-10,10,31.4,45.8
LUTZ *,2/11/1993,30-40,1,32.7,48.7
LUTZ *,2/11/1993,30-40,2,43,75.5
LUTZ *,2/11/1993,30-40,3,31.4,45.8
LUTZ *,2/11/1993,30-40,4,33.6,50.6
LUTZ *,2/11/1993,30-40,5,36.3,56.9
LUTZ *,2/11/1993,30-40,6,28.1,39.1
LUTZ *,2/11/1993,30-40,7,31.9,46.9
LUTZ *,2/11/1993,30-40,8,21.6,27.6
LUTZ *,2/11/1993,30-40,9,30.2,43.3
LUTZ *,2/11/1993,30-40,10,28.6,40
LUTZ *,2/25/1993,0-10,1,30.8,44.5
LUTZ *,2/25/1993,0-10,2,36.6,57.8
LUTZ *,2/25/1993,0-10,3,34.3,52.1
LUTZ *,2/25/1993,0-10,4,34.1,51.9
LUTZ *,2/25/1993,0-10,5,37.2,59.3
LUTZ *,2/25/1993,0-10,6,29.5,41.9
LUTZ *,2/25/1993,0-10,7,35.8,55.7
LUTZ *,2/25/1993,0-10,8,36.8,58.2
LUTZ *,2/25/1993,0-10,9,28.5,39.9
LUTZ *,2/25/1993,0-10,10,27.9,38.8
LUTZ *,2/25/1993,30-40,1,31.5,45.9
LUTZ *,2/25/1993,30-40,2,36.2,56.8
LUTZ *,2/25/1993,30-40,3,33.7,50.8
LUTZ *,2/25/1993,30-40,4,33.7,50.8
LUTZ *,2/25/1993,30-40,5,35,53.8
LUTZ *,2/25/1993,30-40,6,32.1,47.3
LUTZ *,2/25/1993,30-40,7,33.6,50.5
LUTZ *,2/25/1993,30-40,8,24.2,31.8
LUTZ *,2/25/1993,30-40,9,28.7,40.2
LUTZ *,2/25/1993,30-40,10,27.6,38.1
LUTZ *,3/5/1993,0-10,1,28.4,39.7
LUTZ *,3/5/1993,0-10,2,36.1,56.5
LUTZ *,3/5/1993,0-10,3,32.1,47.3
LUTZ *,3/5/1993,0-10,4,30.7,44.3
LUTZ *,3/5/1993,0-10,5,35.1,54.2
LUTZ *,3/5/1993,0-10,6,29.8,42.5
LUTZ *,3/5/1993,0-10,7,34.7,53.1
LUTZ *,3/5/1993,0-10,8,39,64
LUTZ *,3/5/1993,0-10,9,28,38.9
LUTZ *,3/5/1993,0-10,10,28.1,39
LUTZ *,3/5/1993,30-40,1,31,44.9
LUTZ *,3/5/1993,30-40,2,34.1,51.8
LUTZ *,3/5/1993,30-40,3,31.8,46.6
LUTZ *,3/5/1993,30-40,4,31.6,46.2
LUTZ *,3/5/1993,30-40,5,34.6,52.9
LUTZ *,3/5/1993,30-40,6,24.5,32.5
LUTZ *,3/5/1993,30-40,7,32.3,47.8
LUTZ *,3/5/1993,30-40,8,24.1,31.8
LUTZ *,3/5/1993,30-40,9,28.9,40.6
LUTZ *,3/5/1993,30-40,10,28.3,39.5
LUTZ *,3/11/1993,0-10,1,30.2,43.2
LUTZ *,3/11/1993,0-10,2,33.3,50
LUTZ *,3/11/1993,0-10,3,32.8,48.9
LUTZ *,3/11/1993,0-10,4,25.5,34.2
LUTZ *,3/11/1993,0-10,5,34.4,52.5
LUTZ *,3/11/1993,0-10,6,23,29.9
LUTZ *,3/11/1993,0-10,7,31.3,45.5
LUTZ *,3/11/1993,0-10,8,23.6,30.9
LUTZ *,3/11/1993,0-10,9,28.8,40.5
LUTZ *,3/11/1993,0-10,10,29.2,41.3
LUTZ *,3/11/1993,30-40,1,32.3,47.7
LUTZ *,3/11/1993,30-40,2,35,53.8
LUTZ *,3/11/1993,30-40,3,27.9,38.7
LUTZ *,3/11/1993,30-40,4,27.5,37.9
LUTZ *,3/11/1993,30-40,5,35.5,55
LUTZ *,3/11/1993,30-40,6,26.6,36.1
LUTZ *,3/11/1993,30-40,7,29.4,41.7
LUTZ *,3/11/1993,30-40,8,20.4,25.7
LUTZ *,3/11/1993,30-40,9,26.8,36.6
LUTZ *,3/11/1993,30-40,10,29.1,41
LUTZ *,3/19/1993,0-10,1,33.2,49.7
LUTZ *,3/19/1993,0-10,2,41,69.5
LUTZ *,3/19/1993,0-10,3,32.7,48.7
LUTZ *,3/19/1993,0-10,4,35.7,55.6
LUTZ *,3/19/1993,0-10,5,41.1,69.8
LUTZ *,3/19/1993,0-10,6,32.5,48.1
LUTZ *,3/19/1993,0-10,7,32,47
LUTZ *,3/19/1993,0-10,8,43.6,77.2
LUTZ *,3/19/1993,0-10,9,31.3,45.5
LUTZ *,3/19/1993,0-10,10,31.7,46.3
LUTZ *,3/19/1993,30-40,1,32.4,48
LUTZ *,3/19/1993,30-40,2,36.5,57.4
LUTZ *,3/19/1993,30-40,3,31.9,46.8
LUTZ *,3/19/1993,30-40,4,31.6,46.3
LUTZ *,3/19/1993,30-40,5,35.9,56.1
LUTZ *,3/19/1993,30-40,6,29.8,42.5
LUTZ *,3/19/1993,30-40,7,31.1,45.1
LUTZ *,3/19/1993,30-40,8,25.7,34.5
LUTZ *,3/19/1993,30-40,9,29.2,41.3
LUTZ *,3/19/1993,30-40,10,28.3,39.5
LUTZ *,3/26/1993,0-10,1,33.9,51.3
LUTZ *,3/26/1993,0-10,2,34.4,52.3
LUTZ *,3/26/1993,0-10,3,33.5,50.4
LUTZ *,3/26/1993,0-10,4,35,53.9
LUTZ *,3/26/1993,0-10,5,40.7,68.8
LUTZ *,3/26/1993,0-10,6,29.8,42.4
